slug,papel,hub,tipo_kw,keyword,vol,kd,intent,fonte,url_cta,territorio
protetor-solar-facial,autoridade-ponte,Sol e pele,secundaria,melhor protetor solar,3600,31,Commercial,medido,/feminino/camiseta-uv1/,protetor solar
protetor-solar-infantil,autoridade-ponte,Sol e pele,primaria,protetor solar infantil,18100,26,Informational,medido,/infantil1/camiseta-uv2/,protecao infantil
treino-funcional,autoridade-comercial,Bem-estar,primaria,treino funcional em casa,1300,40,"Informational, Transactional",medido,/feminino/ioga-fitness/,treino funcional
treino-funcional,autoridade-comercial,Bem-estar,secundaria,circuito funcional,1300,24,Informational,medido,/feminino/ioga-fitness/,treino funcional
treino-funcional,autoridade-comercial,Bem-estar,secundaria,calistenia para iniciantes,2900,35,Informational,medido,/feminino/ioga-fitness/,treino funcional
mindfulness,autoridade-ponte,Bem-estar,primaria,mindfulness,33100,46,Informational,medido,/feminino/ioga-fitness/,yoga
o-que-e-fps,autoridade-ponte,Sol e pele,primaria,o que é fps,1900,23,Informational,medido,/feminino/camiseta-uv1/,protecao solar
insolacao-sintomas,autoridade-ponte,Sol e pele,primaria,insolação sintomas,12100,33,Informational,medido,/feminino/camiseta-uv1/,pele e saude
insolacao-sintomas,autoridade-ponte,Sol e pele,secundaria,sintomas de insolação,9900,30,Informational,medido,/feminino/camiseta-uv1/,pele e saude
insolacao-sintomas,autoridade-ponte,Sol e pele,secundaria,sintomas insolação leve,1300,23,Informational,medido,/feminino/camiseta-uv1/,pele e saude
insolacao-sintomas,autoridade-ponte,Sol e pele,secundaria,alergia ao sol,3600,24,Informational,medido,/feminino/camiseta-uv1/,pele e saude
skimboard,comercial,Surf,primaria,skimboard,2900,17,Informational,medido,/masculino/lycra-surf/,surf
skimboard,comercial,Surf,secundaria,longboard surf,1300,7,Commercial,medido,/masculino/lycra-surf/,surf
skimboard,comercial,Surf,secundaria,aula de surf,720,19,Informational,medido,/masculino/lycra-surf/,surf
skimboard,comercial,Surf,secundaria,escola de surf,720,28,Commercial,medido,/masculino/lycra-surf/,surf
skimboard,comercial,Surf,secundaria,surf trip,2900,34,Navigational,medido,/masculino/lycra-surf/,surf
bola-de-futevolei,comercial,Praia esportiva,primaria,bola de futevôlei,12100,21,Commercial,medido,/masculino/sunga/,futevolei
bola-de-futevolei,comercial,Praia esportiva,secundaria,quadra de futevôlei,1000,8,Informational,medido,/masculino/sunga/,futevolei
bola-de-futevolei,comercial,Praia esportiva,secundaria,aula de futevôlei,880,21,Commercial,medido,/masculino/sunga/,futevolei
bola-de-futevolei,comercial,Praia esportiva,secundaria,bola de vôlei de praia,1000,21,Commercial,medido,/masculino/sunga/,futevolei
