produto,cluster,kw_primaria,volume,kd,kw_cluster,unidades_semana,views_semana,receita_semana,cvr_semana
Biquini Sunkini Hot Pant Top Faixa Futevôlei Piscina Surf,Biquini e top,biquini hot pants,1300,15,biquini fio dental,0,13,0.0,0.0
Saida de Praia Vestido Manga Longa Midi Folhagem Marrom,Saida de praia e resort,saída de praia longa,2400,9,saida de praia,0,12,0.0,0.0
BERMUDA NEOPRENE JOAQUINA,Neoprene,roupa neoprene,1000,12,long john,0,26,0.0,0.0
Vestido Resort Longo Minimal Beach Alça Quadrada Preto,Saida de praia e resort,saida de praia,60500,26,saida de praia,0,12,0.0,0.0
Camiseta Lycra Surf UV50 Manga Longa Rosa Liso,"Lycra, camiseta UV e rash",camiseta uv masculina manga longa,590,12,rash guard,0,6,0.0,0.0
Vestido Resort Longo Minimal Beach Alça Quadrada Bege,Saida de praia e resort,saida de praia,60500,26,saida de praia,0,6,0.0,0.0
Biquini Sunkini Hot Pant Top Faixa Surf Futevôlei Piscina,Biquini e top,biquini hot pants,1300,15,biquini fio dental,0,8,0.0,0.0
Biquini Hot Pant Cos Alto com Top Fixo,Biquini e top,biquini hot pants,1300,15,biquini fio dental,0,15,0.0,0.0
Camiseta Térmica Manga Longa Infantil Proteção Uv50 6 ao 14,"Lycra, camiseta UV e rash",camiseta uv masculina manga longa,590,12,rash guard,0,4,0.0,0.0
Camisa Feminina Lycra UV50 Gola V Manga Longa Protecao Praia,"Lycra, camiseta UV e rash",camiseta uv feminina manga longa,320,12,rash guard,0,20,0.0,0.0
Poncho Atoalhado Roupao Toalha Surf Natacao Classico Unissex,"Poncho, toalha e roupao",poncho toalha infantil,590,9,poncho toalha infantil,0,88,0.0,0.0
Biquini Empina Bumbum Cortininha Verde,Biquini e top,biquini cortininha,6600,19,biquini fio dental,0,3,0.0,0.0
Camiseta Lycra Surf UV50 Manga Longa Amarelo com Preto,"Lycra, camiseta UV e rash",camiseta uv masculina manga longa,590,12,rash guard,0,6,0.0,0.0
Biquini Empina Bumbum Cortininha Rosa,Biquini e top,biquini cortininha,6600,19,biquini fio dental,0,7,0.0,0.0
Camiseta Lycra Surf UV50 Manga Longa Preto Liso,"Lycra, camiseta UV e rash",camiseta uv masculina manga longa,590,12,rash guard,0,27,0.0,0.0
Camiseta Lycra Surf UV50 Manga Longa Azul Liso,"Lycra, camiseta UV e rash",camiseta uv masculina manga longa,590,12,rash guard,0,3,0.0,0.0
Biquini Asa Delta Alça Fixa Bicolor,Biquini e top,biquini asa delta,2900,14,biquini fio dental,0,8,0.0,0.0
BIQUINI CORTININHA AMARRACAO AMANDA,Biquini e top,biquini cortininha,6600,19,biquini fio dental,0,6,0.0,0.0
Biquini Empina Bumbum Cortininha Preto,Biquini e top,biquini cortininha,6600,19,biquini fio dental,0,1,0.0,0.0
Bermuda Sarja Premium Masculino Cordao E Elastico,"Sunga, bermuda e short",sunga masculina,22200,22,sunga masculina,0,17,0.0,0.0
Camiseta Lycra Surf UV50 Manga Longa Verde Liso,"Lycra, camiseta UV e rash",camiseta uv masculina manga longa,590,12,rash guard,0,6,0.0,0.0
Blusa Casaco Moletom Frio Canguru Capuz Surf Unissex,Fora de linha (fitness/moletom),,,,,0,11,0.0,0.0
Saida de Praia Vestido Manga Longa Midi Mini Flor Rosa,Saida de praia e resort,saída de praia longa,2400,9,saida de praia,0,1,0.0,0.0
Saia Curta Saida Praia Feminina Drapeada Transparente Tule,Saida de praia e resort,saída de praia feminina,1300,16,saida de praia,0,11,0.0,0.0
Camiseta Manga Longa Infantil Proteção Uv50 6 ao 14,"Lycra, camiseta UV e rash",camiseta uv masculina manga longa,590,12,rash guard,0,10,0.0,0.0
Saida de Praia Shorts em Tule Duplo Premium Feminino,"Sunga, bermuda e short",short de praia feminino,2900,9,sunga masculina,0,1,0.0,0.0
MACAQUINHO FITNESS YOGA,Saida de praia e resort,saida de praia,60500,26,saida de praia,0,20,0.0,0.0
Maio Biquini Hot Pant Top Alcas Esporte Proteção UV50,Maio,maio manga longa proteção uv,140,21,maio de praia,0,43,0.0,0.0
Camiseta Lycra Surf UV50 Manga Longa Preto com Amarelo,"Lycra, camiseta UV e rash",camiseta uv masculina manga longa,590,12,rash guard,0,4,0.0,0.0
Biquini Asa Delta Com Top Alça Fixa,Biquini e top,biquini asa delta,2900,14,biquini fio dental,0,9,0.0,0.0
Vestido Longo Saida Praia Resort Bicolor,Saida de praia e resort,saida de praia,60500,26,saida de praia,0,11,0.0,0.0
Saia Curta Saida Praia Feminina Tule Folhagem Marrom,Saida de praia e resort,saída de praia feminina,1300,16,saida de praia,0,1,0.0,0.0
CAMISETA BACKDOOR,"Lycra, camiseta UV e rash",rash guard,18100,10,rash guard,0,25,0.0,0.0
Bermuda Ergonomic Premium Masculino Cordao E Elastico,"Sunga, bermuda e short",sunga masculina,22200,22,sunga masculina,0,70,0.0,0.0
Camiseta Lycra Surf UV50 Manga Longa Preto com Azul,"Lycra, camiseta UV e rash",camiseta uv masculina manga longa,590,12,rash guard,0,13,0.0,0.0
Saida de Praia Vestido Manga Longa Midi Buque Rosa,Saida de praia e resort,saída de praia longa,2400,9,saida de praia,0,12,0.0,0.0
Maiô Body Gola Alta com Ziper Surf Proteção Solar UV50,Maio,maiô gola alta,170,14,maio de praia,0,77,0.0,0.0
Camisa Masculina Protecao Solar Lycra UV50 Manga Longa Praia,"Lycra, camiseta UV e rash",camiseta uv masculina manga longa,590,12,rash guard,0,2,0.0,0.0
AEROLOOK CROPPED MOLETOM,Saida de praia e resort,saida de praia,60500,26,saida de praia,0,8,0.0,0.0
AEROLOOK SAIA MOLETOM,Saida de praia e resort,saida de praia,60500,26,saida de praia,0,3,0.0,0.0
Hot Pant Top Cropped Manga 3/4 Surf Proteção Solar UV50 Gelo,Biquini e top,biquini hot pants,1300,15,biquini fio dental,0,20,0.0,0.0
Saia Curta Saida Praia Feminina Tule Buque Rosas,Saida de praia e resort,saída de praia feminina,1300,16,saida de praia,0,2,0.0,0.0
Saída de Praia Vestido Midi Regata com Transparencia,Saida de praia e resort,saida de praia,60500,26,saida de praia,0,2,0.0,0.0
AEROLOOK CALÇA MOLETOM,Fora de linha (fitness/moletom),,,,,0,10,0.0,0.0
MAIO INFANTIL ENGANA MAMAE,Maio,maio de surf infantil,20,0,maio de praia,0,18,0.0,0.0
SUNGA CALCAO DE BANHO MASCULINO ADULTO,"Sunga, bermuda e short",sunga masculina,22200,22,sunga masculina,0,5,0.0,0.0
Maio Biquini Hot Pant Top Nadador Esporte Proteção UV50,Maio,maio manga longa proteção uv,140,21,maio de praia,0,31,0.0,0.0
Vestido Regata Saída Praia Tule Transparencia,Saida de praia e resort,saida de praia,60500,26,saida de praia,0,16,0.0,0.0
Saida de Praia Saia Transparente Drapeada Lancamento,Saida de praia e resort,saida de praia,60500,26,saida de praia,0,2,0.0,0.0
Camisa Feminina Gola V Protecao UV50 Manga Longa Lycra Praia,"Lycra, camiseta UV e rash",camiseta uv feminina manga longa,320,12,rash guard,0,4,0.0,0.0
SAPATILHA ESPORTIVA NEOPRENE,Neoprene,roupa neoprene,1000,12,long john,0,21,0.0,0.0
Camisa Masculina UV50 Manga Longa Protecao Solar Lycra Praia,"Lycra, camiseta UV e rash",camiseta uv masculina manga longa,590,12,rash guard,0,18,0.0,0.0
Biquini Hot Pant Cos Alto com Top Fixo com Metal e Abertura,Biquini e top,biquini hot pants,1300,15,biquini fio dental,0,23,0.0,0.0
Biquini Sunkini Hot Pant Top Faixa Surf Piscina Futevôlei,Biquini e top,biquini hot pants,1300,15,biquini fio dental,0,4,0.0,0.0
Saida de Praia Vestido Manga Longa Midi Onça,Saida de praia e resort,saída de praia longa,2400,9,saida de praia,0,6,0.0,0.0
Biquini Empina Bumbum Cortininha Onça,Biquini e top,biquini cortininha,6600,19,biquini fio dental,0,3,0.0,0.0
MAIO CEPILHO INFANTIL,Maio,maio de surf infantil,20,0,maio de praia,0,24,0.0,0.0
Camisa Masculina Lycra UV50 Manga Longa Protecao Solar Praia,"Lycra, camiseta UV e rash",camiseta uv masculina manga longa,590,12,rash guard,0,2,0.0,0.0
CALÇA LEGGING,Fora de linha (fitness/moletom),,,,,0,23,0.0,0.0
Saida de Praia Vestido Manga Longa Midi com Transparencia,Saida de praia e resort,saída de praia longa,2400,9,saida de praia,0,2,0.0,0.0
Blusa Casaco Moletom Frio Careca Surf Unissex,Fora de linha (fitness/moletom),,,,,0,10,0.0,0.0
Maiô Body Surf Manga Longa Proteção Solar UV50 Liso Marrom,Maio,maio manga longa proteção uv,140,21,maio de praia,0,19,0.0,0.0
Biquini Fio Dental Marquinha Cortininha com Regulagens,Biquini e top,biquini fio dental,6600,14,biquini fio dental,0,4,0.0,0.0
BIQUINI FLORIPA,Biquini e top,biquini fio dental,6600,14,biquini fio dental,0,3,0.0,0.0
Maiô Body Surf Manga Longa Proteção Solar UV50 Liso Verde,Maio,maio manga longa proteção uv,140,21,maio de praia,0,20,0.0,0.0
Saida de Praia Vestido Manga Longa Midi Floral Color,Saida de praia e resort,saída de praia longa,2400,9,saida de praia,0,3,0.0,0.0
PONCHO ZIPER,"Poncho, toalha e roupao",poncho toalha infantil,590,9,poncho toalha infantil,0,50,0.0,0.0
CAMISETA NEOPRENE CABO FRIO,Neoprene,roupa neoprene,1000,12,long john,0,50,0.0,0.0
Saia Curta Saida Praia Feminina Tule Floral Color,Saida de praia e resort,saída de praia feminina,1300,16,saida de praia,0,1,0.0,0.0
Maiô Body Surf Manga Longa Proteção Solar UV50 Liso Preto,Maio,maio manga longa proteção uv,140,21,maio de praia,0,98,0.0,0.0
Maio Feminino Manga Longa Body Surf Natacao Estampado Coral,Maio,maio manga longa,1900,12,maio de praia,0,57,0.0,0.0
TOP FRENTE UNICA,Biquini e top,biquini fio dental,6600,14,biquini fio dental,0,8,0.0,0.0
Biquini Empina Bumbum Cortininha Vaca,Biquini e top,biquini cortininha,6600,19,biquini fio dental,0,1,0.0,0.0
CONJUNTO MASCULINO ITAUNA,"Sunga, bermuda e short",sunga masculina,22200,22,sunga masculina,0,3,0.0,0.0
Maiô Body Surf Manga Longa Proteção Solar UV50 Liso Rosa,Maio,maio manga longa proteção uv,140,21,maio de praia,0,22,0.0,0.0
Camiseta Lycra Surf Feminina UV50 Segunda Pele Onca,"Lycra, camiseta UV e rash",blusa uv feminina,3600,15,rash guard,0,2,0.0,0.0
CAMISETA UV INFANTIL NEON,"Lycra, camiseta UV e rash",camiseta uv infantil,720,11,rash guard,0,12,0.0,0.0
VESTIDO RESORT ALCA CRUZADA,Saida de praia e resort,saida de praia,60500,26,saida de praia,0,4,0.0,0.0
Hot Pant Top Cropped Manga 3/4 Surf Proteção Solar UV50,Biquini e top,biquini hot pants,1300,15,biquini fio dental,0,47,0.0,0.0
TOP ALCA,Biquini e top,biquini fio dental,6600,14,biquini fio dental,0,11,0.0,0.0
SHORTS,"Sunga, bermuda e short",sunga masculina,22200,22,sunga masculina,0,6,0.0,0.0
Maiô Body Surf Manga Longa Proteção Solar UV50 Onça,Maio,maio manga longa proteção uv,140,21,maio de praia,0,39,0.0,0.0
Maiô Body Surf Manga Longa Proteção Solar UV50 Fundo do Mar,Maio,maio manga longa proteção uv,140,21,maio de praia,0,22,0.0,0.0
Atoalhado Cropped com Metal e Shorts com Bolso,"Poncho, toalha e roupao",poncho toalha infantil,590,9,poncho toalha infantil,0,3,0.0,0.0
